Port_IDs,ROI,PnL,Sharpe Ratio,MDD,Win Rate,Win Positions,Total Positions,score,rank
4013955990069013504,0.16641910849962013,0.1664191084996201,0.3319892404937435,5.461107707345714e-78,0.8213401759827047,236.0,358.0,0.24006237537181024,79.0
4013978721149559808,0.19118451067037306,0.19118451067037306,0.4532631504872737,5.461102800785032e-78,0.2585095521029388,61.0,294.0,0.2216550661764538,100.0
4014818740371615232,0.17025594998827517,0.17025594998827517,0.5339648853841147,4.562770199048677e-64,0.26143359643395536,111.0,529.0,0.22657710921376983,96.0
4016164457907769600,0.19075543161006356,0.19075543161006353,0.49940631881987835,1.1522927237322546e-77,0.5424700814759128,310.0,712.0,0.2590437592971019,49.0
4017110277719148289,0.18076374364911027,0.18076374364911027,0.6258012579351743,5.461102800785048e-78,0.7070165618990212,143.0,252.0,0.29528196678394764,22.0
4017263283405469185,0.23105014278675445,0.23105014278675445,0.35563046848559055,5.464780284156526e-78,0.41888003825863435,2034.0,6050.0,0.2400916760556965,78.0
4017323550554338817,0.18354755517227708,0.18354755517227708,0.4577329109902512,5.461102800785048e-78,0.6241086981767506,273.0,545.0,0.2549086073604777,58.0
4019895412775450368,0.1776855397260816,0.1776855397260816,0.3732153688226895,5.461102800785048e-78,0.5280479346851911,242.0,571.0,0.2251749140824019,97.0
4020204877254599680,1.0,1.0,0.3748479933734043,2.8949811248987105e-74,0.4104365369958005,1993.0,6050.0,0.666013252374261,1.0
4021243448368889856,0.16414473458360387,0.16414473458360387,0.9582919981297897,5.461102628907066e-78,0.471600436387548,2290.0,6050.0,0.3290980472856949,14.0
4021669203289716224,0.45970438568383487,0.45970438568383487,0.5131699395200126,5.461102800785048e-78,0.39111279304539287,528.0,1682.0,0.39458267933465097,5.0
4022565861939831809,0.3147085177222297,0.31470851772222963,0.5048619048395127,4.823182625765292e-62,0.6574275710822977,372.0,705.0,0.33980482282335855,12.0
4022641794255717633,0.17219068556774192,0.1721906855677419,0.5828481202183867,3.96057108195775e-75,0.5422642104772502,2634.0,6052.0,0.2655009221536604,37.0
4023616625178799873,0.17113475975731282,0.1711347597573128,0.5863867825971475,5.461102800785048e-78,0.5107263666797134,339.0,827.0,0.2624741110539229,39.0
4023697433751327232,0.17493404557510883,0.17493404557510883,0.4870929488381098,5.461102790266886e-78,0.11866012227675879,4.0,42.0,0.2054983270616077,121.0
4023697881318718465,0.18375166220453004,0.18375166220453004,0.5398808526350765,5.461102800770896e-78,0.10679411004908292,6.0,70.0,0.2197189957444151,104.0
4026179081117855488,0.22695771458163172,0.2269577145816317,0.41458266202364974,5.461102800791947e-78,0.2909281170541853,46.0,197.0,0.23683608713004592,85.0
4027747397961573889,0.17766086971975875,0.17766086971975872,0.44631943634714144,1.0911910878318667e-75,0.5606690777576854,207.0,460.0,0.24304427339106413,73.0
4028427053699127040,0.17759927029597625,0.17759927029597622,0.4499886144247375,5.461102800394812e-78,0.3706902993439242,36.0,121.0,0.22474635148212685,98.0
4028701921959171840,0.35506423061627906,0.355064230616279,0.48026223456171496,2.9669012324054267e-63,0.67646633027209,373.0,687.0,0.35898440677850546,8.0
4029299190618134272,0.1861488874848818,0.1861488874848818,0.45147736897079227,5.461102800785008e-78,0.39003066278795506,72.0,230.0,0.23168042818963897,88.0
4029422834086627072,0.17957778320901674,0.17957778320901674,0.5384795205205731,5.4611028007308875e-78,0.4641704783179094,38.0,102.0,0.2528807327008648,63.0
4029506971304830209,0.17499842361048218,0.17499842361048218,0.5718318006198196,5.461102790337731e-78,0.07188065099457505,3.0,52.0,0.21780355820918668,108.0
4029507714735307777,0.1646154909856697,0.1646154909856697,0.5958258869586536,5.461093561564569e-78,0.04701627486437613,2.0,53.0,0.21440532492028666,115.0
4029749871687083265,0.18980042233220404,0.189800422332204,0.5741385928474919,5.4610958816762395e-78,0.5341784827026752,367.0,856.0,0.27263579912247815,30.0
4030392204221219329,0.16236116960552743,0.16236116960552743,0.4700575826545191,5.461090810527064e-78,0.1172641208382087,8.0,85.0,0.19503657189776477,131.0
4030395639953224449,0.19871168207934325,0.19871168207934325,0.6099382626623091,5.461102800785048e-78,0.21778473661770975,86.0,492.0,0.2530575513378716,61.0
4030555430101054209,0.18619909101350687,0.18619909101350687,0.5946622251764173,5.461102800759134e-78,0.3295024883057104,32.0,121.0,0.2542921939232833,60.0
4030565764341697025,0.17945893566713966,0.17945893566713966,0.5138875042567789,5.461102800779734e-78,0.6051666236114699,51.0,105.0,0.2619965778294296,41.0
4030626027667524352,0.19139163266293707,0.19139163266293707,0.6227279372406173,5.461102800785048e-78,0.6202919696699237,116.0,233.0,0.2918401823797312,24.0
4030635536196756737,0.17698975804809225,0.17698975804809222,0.7218422634422761,8.918977850263491e-72,0.6537769256353569,679.0,1294.0,0.30709051217844163,19.0
4030708912786799105,0.1655040241746745,0.16550402417467447,0.5110577615764111,5.461094423937327e-78,0.04153104279686558,2.0,60.0,0.19739186989103977,129.0
4031173908980084736,0.20993532476454657,0.20993532476454654,0.5499208589932368,5.461102800785041e-78,0.4706851516978099,85.0,225.0,0.272517115588929,31.0
4031181049693676544,0.20027051724561368,0.20027051724561365,0.49629691288940325,1.673290881674646e-77,0.30116882028190606,73.0,302.0,0.23952504909115876,81.0
4031408429897920512,0.16240276741954407,0.1624027674195441,0.48774203270796856,5.461090872566601e-78,0.06077713580029109,4.0,82.0,0.1929476422023721,133.0
4031414524297538817,0.17871102802925604,0.178711028029256,0.5268789045656022,5.461102800442263e-78,0.45956481783416836,90.0,244.0,0.2496233281126281,67.0
4031451549482615297,0.1834266965299473,0.18342669652994734,0.5545051458480413,5.461102800783732e-78,0.4808857587005488,44.0,114.0,0.25987428813113417,44.0
4031493134338259457,0.25406655729487904,0.25406655729487904,0.4990946248781841,4.2963073566595425e-71,0.4504875949750004,683.0,1889.0,0.2846042909853203,28.0
4031673021422897664,0.16991295247202104,0.16991295247202104,0.6159711334354558,5.461102800784938e-78,0.3917338534551513,72.0,229.0,0.2558197358922179,55.0
4032403303704824321,0.1708122687983407,0.17081226879834066,0.39161076204018597,8.52423185868952e-70,0.6872177036790762,123.0,223.0,0.2409906706150322,76.0
4033614723417828608,0.2009462788724349,0.20094627887243488,0.4739968297035964,1.5828420979282742e-72,0.27767848381625243,115.0,516.0,0.23308766770218373,87.0
4033639786957934336,0.1801497080377115,0.1801497080377115,0.687004017661774,5.461102800783978e-78,0.20904887313858514,25.0,149.0,0.25738803026695467,53.0
4034359562055356161,0.2090369806953466,0.20903698069534657,0.46352406574811994,1.6390939016368006e-63,0.6097110538263245,391.0,799.0,0.26864625791469704,33.0
4034786679304751616,0.17627201640138196,0.17627201640138193,0.541519419324604,5.461102789851407e-78,0.4774129218705109,123.0,321.0,0.252994785072732,62.0
4035034554469394176,0.17622749632680068,0.17622749632680068,0.6756592059877277,5.461102800750438e-78,0.20818092338681987,66.0,395.0,0.2528750565159679,64.0
4035430878731345664,0.17594804609990158,0.17594804609990156,0.5208219504594584,5.46109885415335e-78,0.6019668000894,43.0,89.0,0.2611324954557776,42.0
4036548677626662656,0.18546990436684846,0.18546990436684846,0.5135867744966208,5.461102771301432e-78,0.5763491653442571,68.0,147.0,0.26236071883551654,40.0
4037073643537925121,0.16464513736287237,0.16464513736287234,0.43395170030977015,5.457559852147018e-78,0.23186613579415988,83.0,446.0,0.20053177919094983,126.0
4037121179310444801,0.23219490184530095,0.23219490184530095,0.7853710296533684,0.0,0.6030463643732958,772.0,1595.0,0.3450860383829188,10.0
4037179073830813185,0.17402363476186924,0.17402363476186924,0.5558045365216981,5.46110168613586e-78,0.5290941068641779,31.0,73.0,0.2597833171097855,45.0
4037282461943784704,0.2028210170795486,0.2028210170795486,0.866950374281683,5.46110280059376e-78,0.33620367978414994,136.0,504.0,0.31856200222850334,16.0
4037511388357114368,0.18849868149706311,0.1884986814970631,0.4929849390508734,5.837002889943692e-78,0.5399471356276647,413.0,953.0,0.25626597619632585,54.0
4037717032428033792,0.1688768075568967,0.1688768075568967,0.5213040072793529,5.461096006772703e-78,0.40089902510539016,102.0,317.0,0.2372329481227028,83.0
4037785885739608577,0.16931851717862173,0.1693185171786217,0.6854582770942298,5.46110278048223e-78,0.28940923523800033,59.0,254.0,0.2591577633908879,47.0
4038768306117031680,0.16703428283076724,0.16703428283076724,0.46800140958757674,5.398678718364909e-78,0.2741048824593128,22.0,100.0,0.21287962572036861,116.0
4039129759104249600,0.16137156408460332,0.16137156408460332,0.7090723229113195,5.452474409785615e-78,0.5527063590259554,59.0,133.0,0.28583946073139127,27.0
4039279455324236544,0.15869825396829257,0.15869825396829257,0.4544787686973597,5.455850767860843e-78,0.689643921672722,181.0,327.0,0.24714418558930507,70.0
4040382575336130560,0.1463821618337484,0.1463821618337484,0.26004358617253676,-0.0,0.0,0.0,76.0,0.13251890624306895,147.5
4040843843196854529,0.17189274729732795,0.17189274729732795,0.6053400884070704,5.461096685181027e-78,0.4012321083764979,19.0,59.0,0.2557322395325943,57.0
4041804592937345281,0.13717784567763003,0.13717784567763003,0.0,0.0,0.28778304111958486,85.0,368.0,0.10422611923465501,149.0
4041860229502600193,0.1739750381170573,0.1739750381170573,1.0,5.457683403190542e-78,0.4880967916332656,38.0,97.0,0.34449595012770806,11.0
